"","Link","Title","string","url","css_string"
"1","abacavir-2.html"," Abacavir ","abacavir-2","https://bnf.nice.org.uk/interaction/abacavir-2.html","#abacavir-2 .interactant span"
"2","abatacept-2.html"," Abatacept ","abatacept-2","https://bnf.nice.org.uk/interaction/abatacept-2.html","#abatacept-2 .interactant span"
"3","abciximab-2.html"," Abciximab ","abciximab-2","https://bnf.nice.org.uk/interaction/abciximab-2.html","#abciximab-2 .interactant span"
"4","abiraterone.html"," Abiraterone ","abiraterone","https://bnf.nice.org.uk/interaction/abiraterone.html","#abiraterone .interactant span"
"5","acarbose-2.html"," Acarbose ","acarbose-2","https://bnf.nice.org.uk/interaction/acarbose-2.html","#acarbose-2 .interactant span"
"6","acebutolol-2.html"," Acebutolol ","acebutolol-2","https://bnf.nice.org.uk/interaction/acebutolol-2.html","#acebutolol-2 .interactant span"
"7","aceclofenac-2.html"," Aceclofenac ","aceclofenac-2","https://bnf.nice.org.uk/interaction/aceclofenac-2.html","#aceclofenac-2 .interactant span"
"8","acemetacin-2.html"," Acemetacin ","acemetacin-2","https://bnf.nice.org.uk/interaction/acemetacin-2.html","#acemetacin-2 .interactant span"
"9","acenocoumarol-2.html"," Acenocoumarol ","acenocoumarol-2","https://bnf.nice.org.uk/interaction/acenocoumarol-2.html","#acenocoumarol-2 .interactant span"
"10","acetazolamide-2.html"," Acetazolamide ","acetazolamide-2","https://bnf.nice.org.uk/interaction/acetazolamide-2.html","#acetazolamide-2 .interactant span"
"11","aciclovir-2.html"," Aciclovir ","aciclovir-2","https://bnf.nice.org.uk/interaction/aciclovir-2.html","#aciclovir-2 .interactant span"
"12","acitretin-2.html"," Acitretin ","acitretin-2","https://bnf.nice.org.uk/interaction/acitretin-2.html","#acitretin-2 .interactant span"
"13","aclidinium.html"," Aclidinium ","aclidinium","https://bnf.nice.org.uk/interaction/aclidinium.html","#aclidinium .interactant span"
"14","acrivastine-2.html"," Acrivastine ","acrivastine-2","https://bnf.nice.org.uk/interaction/acrivastine-2.html","#acrivastine-2 .interactant span"
"15","adalimumab-2.html"," Adalimumab ","adalimumab-2","https://bnf.nice.org.uk/interaction/adalimumab-2.html","#adalimumab-2 .interactant span"
"16","adefovir.html"," Adefovir ","adefovir","https://bnf.nice.org.uk/interaction/adefovir.html","#adefovir .interactant span"
"17","adenosine-2.html"," Adenosine ","adenosine-2","https://bnf.nice.org.uk/interaction/adenosine-2.html","#adenosine-2 .interactant span"
"18","adrenalineepinephrine-2.html"," Adrenaline/epinephrine ","adrenalineepinephrine-2","https://bnf.nice.org.uk/interaction/adrenalineepinephrine-2.html","#adrenalineepinephrine-2 .interactant span"
"19","afatinib-2.html"," Afatinib ","afatinib-2","https://bnf.nice.org.uk/interaction/afatinib-2.html","#afatinib-2 .interactant span"
"20","aflibercept-2.html"," Aflibercept ","aflibercept-2","https://bnf.nice.org.uk/interaction/aflibercept-2.html","#aflibercept-2 .interactant span"
"21","agalsidase.html"," Agalsidase ","agalsidase","https://bnf.nice.org.uk/interaction/agalsidase.html","#agalsidase .interactant span"
