id,value
BNF,
BNF.1: Gastro-Intestinal System,
BNF.1: Gastro-Intestinal System.1: Dyspep&Gastro-Oesophageal Reflux Disease,
BNF.1: Gastro-Intestinal System.1: Dyspep&Gastro-Oesophageal Reflux Disease.1: Antacids and Simeticone,
BNF.1: Gastro-Intestinal System.1: Dyspep&Gastro-Oesophageal Reflux Disease.2: Compound Alginates&Prop Indigestion Prep,
BNF.1: Gastro-Intestinal System.2: Antispasmod.&Other Drgs Alt.Gut Motility,
BNF.1: Gastro-Intestinal System.3: Antisecretory Drugs+Mucosal Protectants,
BNF.1: Gastro-Intestinal System.3: Antisecretory Drugs+Mucosal Protectants.1: H2-Receptor Antagonists,
BNF.1: Gastro-Intestinal System.3: Antisecretory Drugs+Mucosal Protectants.2: Selective Antimuscarinics,
BNF.1: Gastro-Intestinal System.3: Antisecretory Drugs+Mucosal Protectants.3: Chelates And Complexes,
BNF.1: Gastro-Intestinal System.3: Antisecretory Drugs+Mucosal Protectants.4: Prostaglandin Analogues,
BNF.1: Gastro-Intestinal System.3: Antisecretory Drugs+Mucosal Protectants.5: Proton Pump Inhibitors,
BNF.1: Gastro-Intestinal System.4: Acute Diarrhoea,
BNF.1: Gastro-Intestinal System.4: Acute Diarrhoea.1: Adsorbents And Bulk-Forming Drugs,
BNF.1: Gastro-Intestinal System.4: Acute Diarrhoea.2: Antimotility Drugs,
BNF.1: Gastro-Intestinal System.4: Acute Diarrhoea.3: Enkephalinase Inhibitors,
BNF.1: Gastro-Intestinal System.5: Chronic Bowel Disorders,
BNF.1: Gastro-Intestinal System.5: Chronic Bowel Disorders.1: Aminosalicylates,
BNF.1: Gastro-Intestinal System.5: Chronic Bowel Disorders.2: Corticosteroids,
BNF.1: Gastro-Intestinal System.5: Chronic Bowel Disorders.4: Food Allergy,
BNF.1: Gastro-Intestinal System.6: Laxatives,
BNF.1: Gastro-Intestinal System.6: Laxatives.1: Bulk-Forming Laxatives,
BNF.1: Gastro-Intestinal System.6: Laxatives.2: Stimulant Laxatives,
BNF.1: Gastro-Intestinal System.6: Laxatives.3: Faecal Softeners,
BNF.1: Gastro-Intestinal System.6: Laxatives.4: Osmotic Laxatives,
BNF.1: Gastro-Intestinal System.6: Laxatives.5: Bowel Cleansing Preparations,
BNF.1: Gastro-Intestinal System.6: Laxatives.6: Peripheral Opioid-Receptor Antagonists,
BNF.1: Gastro-Intestinal System.6: Laxatives.7: Other Drugs Used In Constipation,
BNF.1: Gastro-Intestinal System.7: Local Prepn for Anal & Rectal Disorders,
